"Date","Hour","Active followers"
"4 septembre","0","1154"
"4 septembre","1","1146"
"4 septembre","2","1128"
"4 septembre","3","1097"
"4 septembre","4","1091"
"4 septembre","5","1094"
"4 septembre","6","1143"
"4 septembre","7","1223"
"4 septembre","8","1178"
"4 septembre","9","1074"
"4 septembre","10","1095"
"4 septembre","11","1245"
"4 septembre","12","1393"
"4 septembre","13","1526"
"4 septembre","14","1577"
"4 septembre","15","1576"
"4 septembre","16","1597"
"4 septembre","17","1604"
"4 septembre","18","1482"
"4 septembre","19","1374"
"4 septembre","20","1335"
"4 septembre","21","1280"
"4 septembre","22","1232"
"4 septembre","23","1195"
"5 septembre","0","1151"
"5 septembre","1","1142"
"5 septembre","2","1118"
"5 septembre","3","1098"
"5 septembre","4","1047"
"5 septembre","5","1053"
"5 septembre","6","1115"
"5 septembre","7","1191"
"5 septembre","8","1131"
"5 septembre","9","1093"
"5 septembre","10","1145"
"5 septembre","11","1227"
"5 septembre","12","1415"
"5 septembre","13","1522"
"5 septembre","14","1562"
"5 septembre","15","1617"
"5 septembre","16","1579"
"5 septembre","17","1587"
"5 septembre","18","1420"
"5 septembre","19","1404"
"5 septembre","20","1262"
"5 septembre","21","1207"
"5 septembre","22","1197"
"5 septembre","23","1204"
"6 septembre","0","1202"
"6 septembre","1","1158"
"6 septembre","2","1186"
"6 septembre","3","1136"
"6 septembre","4","1044"
"6 septembre","5","1099"
"6 septembre","6","1076"
"6 septembre","7","1141"
"6 septembre","8","1091"
"6 septembre","9","1121"
"6 septembre","10","1171"
"6 septembre","11","1246"
"6 septembre","12","1362"
"6 septembre","13","1475"
"6 septembre","14","1524"
"6 septembre","15","1538"
"6 septembre","16","1530"
"6 septembre","17","1524"
"6 septembre","18","1486"
"6 septembre","19","1419"
"6 septembre","20","1273"
"6 septembre","21","1198"
"6 septembre","22","1190"
"6 septembre","23","1155"
"7 septembre","0","1097"
"7 septembre","1","1108"
"7 septembre","2","1165"
"7 septembre","3","1136"
"7 septembre","4","1086"
"7 septembre","5","1054"
"7 septembre","6","1053"
"7 septembre","7","1061"
"7 septembre","8","1047"
"7 septembre","9","1147"
"7 septembre","10","1150"
"7 septembre","11","1221"
"7 septembre","12","1384"
"7 septembre","13","1479"
"7 septembre","14","1536"
"7 septembre","15","1589"
"7 septembre","16","1587"
"7 septembre","17","1571"
"7 septembre","18","1489"
"7 septembre","19","1420"
"7 septembre","20","1348"
"7 septembre","21","1310"
"7 septembre","22","1240"
"7 septembre","23","1195"
"8 septembre","0","1170"
"8 septembre","1","1151"
"8 septembre","2","1090"
"8 septembre","3","1067"
"8 septembre","4","1075"
"8 septembre","5","1042"
"8 septembre","6","1140"
"8 septembre","7","1207"
"8 septembre","8","1115"
"8 septembre","9","1046"
"8 septembre","10","1113"
"8 septembre","11","1229"
"8 septembre","12","1395"
"8 septembre","13","1498"
"8 septembre","14","1506"
"8 septembre","15","1537"
"8 septembre","16","1569"
"8 septembre","17","1590"
"8 septembre","18","1469"
"8 septembre","19","1440"
"8 septembre","20","1364"
"8 septembre","21","1332"
"8 septembre","22","1306"
"8 septembre","23","1198"
"9 septembre","0","1189"
"9 septembre","1","1140"
"9 septembre","2","1150"
"9 septembre","3","1142"
"9 septembre","4","1067"
"9 septembre","5","1083"
"9 septembre","6","1128"
"9 septembre","7","1196"
"9 septembre","8","1129"
"9 septembre","9","1103"
"9 septembre","10","1150"
"9 septembre","11","1253"
"9 septembre","12","1431"
"9 septembre","13","1539"
"9 septembre","14","1538"
"9 septembre","15","1591"
"9 septembre","16","1575"
"9 septembre","17","1559"
"9 septembre","18","1514"
"9 septembre","19","1451"
"9 septembre","20","1344"
"9 septembre","21","1287"
"9 septembre","22","1226"
"9 septembre","23","1197"
"10 septembre","0","1181"
"10 septembre","1","1177"
"10 septembre","2","1124"
"10 septembre","3","1115"
"10 septembre","4","1006"
"10 septembre","5","1067"
"10 septembre","6","1135"
"10 septembre","7","1115"
"10 septembre","8","1107"
"10 septembre","9","1075"
"10 septembre","10","1079"
"10 septembre","11","1240"
"10 septembre","12","1430"
"10 septembre","13","1477"
"10 septembre","14","1594"
"10 septembre","15","1600"
"10 septembre","16","1644"
"10 septembre","17","1600"
"10 septembre","18","1482"
"10 septembre","19","1350"
"10 septembre","20","1303"
"10 septembre","21","1292"
"10 septembre","22","1255"
"10 septembre","23","1200"
"11 septembre","0","1174"
"11 septembre","1","1139"
"11 septembre","2","0"
"11 septembre","3","0"
"11 septembre","4","0"
"11 septembre","5","0"
"11 septembre","6","0"
"11 septembre","7","0"
"11 septembre","8","0"
"11 septembre","9","0"
"11 septembre","10","0"
"11 septembre","11","0"
"11 septembre","12","0"
"11 septembre","13","0"
"11 septembre","14","0"
"11 septembre","15","0"
"11 septembre","16","0"
"11 septembre","17","0"
"11 septembre","18","0"
"11 septembre","19","0"
"11 septembre","20","0"
"11 septembre","21","0"
"11 septembre","22","0"
"11 septembre","23","0"
