"Date","Followers","Difference in followers from previous day"
"11 septembre","375","202"
"12 septembre","609","234"
"13 septembre","650","41"
"14 septembre","699","49"
"15 septembre","774","75"
"16 septembre","829","55"
"17 septembre","840","11"
"18 septembre","864","24"
"19 septembre","973","109"
"20 septembre","1155","182"
"21 septembre","1214","59"
"22 septembre","1255","41"
"23 septembre","1273","18"
"24 septembre","1276","3"
"25 septembre","1279","3"
"26 septembre","1286","7"
"27 septembre","1337","51"
"28 septembre","1400","63"
"29 septembre","1429","29"
"30 septembre","1459","30"
"1 octobre","1484","25"
"2 octobre","1907","423"
"3 octobre","3019","1112"
"4 octobre","3499","480"
"5 octobre","3912","413"
"6 octobre","4295","383"
"7 octobre","4672","377"
"8 octobre","4923","251"
"9 octobre","5089","166"
"10 octobre","5281","192"
"11 octobre","5472","191"
"12 octobre","5614","142"
"13 octobre","5785","171"
"14 octobre","5886","101"
"15 octobre","5949","63"
"16 octobre","6016","67"
"17 octobre","6058","42"
"18 octobre","6080","22"
"19 octobre","6111","31"
"20 octobre","6137","26"
"21 octobre","6144","7"
"22 octobre","6166","22"
"23 octobre","6196","30"
"24 octobre","6216","20"
"25 octobre","6240","24"
"26 octobre","6255","15"
"27 octobre","6289","34"
"28 octobre","6339","50"
"29 octobre","6395","56"
"30 octobre","6449","54"
"31 octobre","6506","57"
"1 novembre","6531","25"
"2 novembre","6556","25"
"3 novembre","6560","4"
"4 novembre","6568","8"
"5 novembre","6581","13"
"6 novembre","6592","11"
"7 novembre","6601","9"
"8 novembre","6615","14"
"9 novembre","6624","9"
"10 novembre","6647","23"
"11 novembre","6658","11"
"12 novembre","6679","21"
"13 novembre","6686","7"
"14 novembre","6716","30"
"15 novembre","6726","10"
"16 novembre","6736","10"
"17 novembre","6751","15"
"18 novembre","6763","12"
"19 novembre","6778","15"
"20 novembre","6791","13"
"21 novembre","6801","10"
"22 novembre","6812","11"
"23 novembre","6815","3"
"24 novembre","6825","10"
"25 novembre","6832","7"
"26 novembre","6833","1"
"27 novembre","6838","5"
"28 novembre","6841","3"
"29 novembre","6842","1"
"30 novembre","6842","0"
"1 décembre","6845","3"
"2 décembre","6847","2"
"3 décembre","6851","4"
"4 décembre","6858","7"
"5 décembre","6862","4"
"6 décembre","6868","6"
"7 décembre","6871","3"
"8 décembre","6877","6"
"9 décembre","6878","1"
"10 décembre","6878","0"
"11 décembre","6878","0"
"12 décembre","6873","-5"
"13 décembre","6873","0"
"14 décembre","6872","-1"
"15 décembre","6870","-2"
"16 décembre","6868","-2"
"17 décembre","6873","5"
"18 décembre","6877","4"
"19 décembre","6875","-2"
"20 décembre","6872","-3"
"21 décembre","6871","-1"
"22 décembre","6869","-2"
"23 décembre","6871","2"
"24 décembre","6872","1"
"25 décembre","6872","0"
"26 décembre","6869","-3"
"27 décembre","6867","-2"
"28 décembre","6867","0"
"29 décembre","6869","2"
"30 décembre","6868","-1"
"31 décembre","6867","-1"
"1 janvier","6864","-3"
"2 janvier","6864","0"
"3 janvier","6862","-2"
"4 janvier","6854","-8"
"5 janvier","6853","-1"
"6 janvier","6852","-1"
"7 janvier","6852","0"
"8 janvier","6848","-4"
"9 janvier","6851","3"
"10 janvier","6853","2"
"11 janvier","6853","0"
"12 janvier","6850","-3"
"13 janvier","6850","0"
"14 janvier","6852","2"
