"Date","Video Views","Profile Views","Likes","Comments","Shares"
"11 septembre","86976","1834","1971","19","182"
"12 septembre","49503","1099","1612","27","151"
"13 septembre","10407","237","397","0","35"
"14 septembre","10076","235","337","9","26"
"15 septembre","25713","407","599","13","53"
"16 septembre","42297","543","1386","38","69"
"17 septembre","5099","100","213","9","26"
"18 septembre","18183","276","333","7","24"
"19 septembre","59505","936","1270","10","61"
"20 septembre","61151","1155","1979","18","199"
"21 septembre","19140","405","659","5","88"
"22 septembre","15922","340","633","10","61"
"23 septembre","5801","149","224","3","18"
"24 septembre","2568","61","85","1","6"
"25 septembre","1948","64","52","0","3"
"26 septembre","3163","74","117","0","6"
"27 septembre","18755","341","685","2","61"
"28 septembre","23559","418","815","6","66"
"29 septembre","11356","219","400","5","23"
"30 septembre","12080","193","436","4","37"
"1 octobre","11796","195","463","4","29"
"2 octobre","244496","2076","7838","49","408"
"3 octobre","544222","5459","18179","127","767"
"4 octobre","193174","2268","8012","57","528"
"5 octobre","219356","2457","8434","54","335"
"6 octobre","208194","2605","8668","49","322"
"7 octobre","183851","2048","7545","42","2545"
"8 octobre","146245","1614","4930","30","156"
"9 octobre","108993","1086","3535","19","125"
"10 octobre","117994","1302","3939","15","140"
"11 octobre","108774","1168","3405","36","133"
"12 octobre","93106","1064","3054","20","137"
"13 octobre","90549","1064","3117","15","138"
"14 octobre","65713","866","2064","14","71"
"15 octobre","51453","555","1570","15","51"
"16 octobre","50964","616","1692","8","60"
"17 octobre","20258","288","688","5","16"
"18 octobre","16879","179","621","7","29"
"19 octobre","15839","178","602","6","17"
"20 octobre","14945","188","571","4","19"
"21 octobre","10512","133","414","2","14"
"22 octobre","12689","150","495","4","17"
"23 octobre","16305","182","593","1","17"
"24 octobre","14671","168","554","1","16"
"25 octobre","12529","161","592","8","30"
"26 octobre","14702","179","712","14","20"
"27 octobre","25602","298","1103","9","68"
"28 octobre","24503","303","1032","9","51"
"29 octobre","23156","300","998","10","69"
"30 octobre","21212","297","1034","13","61"
"31 octobre","26568","301","1243","8","52"
