"Date","Total Viewers","New Viewers","Returning Viewers"
"11 septembre","2191","1317","874"
"12 septembre","63554","52806","10748"
"13 septembre","35484","31304","4180"
"14 septembre","7327","6211","1116"
"15 septembre","7298","6043","1255"
"16 septembre","19340","12672","6668"
"17 septembre","32951","20045","12906"
"18 septembre","3613","2090","1523"
"19 septembre","13545","5130","8415"
"20 septembre","42913","22784","20129"
"21 septembre","43420","32599","10821"
"22 septembre","13093","8992","4101"
"23 septembre","10941","8331","2610"
"24 septembre","3963","2807","1156"
"25 septembre","1691","926","765"
"26 septembre","1283","817","466"
"27 septembre","2220","1783","437"
"28 septembre","13985","12749","1236"
"29 septembre","16738","15154","1584"
"30 septembre","8454","7098","1356"
"1 octobre","9298","8056","1242"
"2 octobre","8678","7084","1594"
"3 octobre","189079","164221","24858"
"4 octobre","422894","400565","22329"
"5 octobre","152700","135904","16796"
"6 octobre","170767","152933","17834"
"7 octobre","161804","143810","17994"
"8 octobre","143253","125633","17620"
"9 octobre","116491","104091","12400"
"10 octobre","86858","76729","10129"
"11 octobre","95462","86504","8958"
"12 octobre","85546","67502","18044"
"13 octobre","73435","63179","10256"
"14 octobre","72676","63247","9429"
"15 octobre","51028","41396","9632"
"16 octobre","40807","33212","7595"
"17 octobre","39487","30273","9214"
"18 octobre","15368","11978","3390"
"19 octobre","12982","8825","4157"
"20 octobre","11758","7938","3820"
"21 octobre","11221","8069","3152"
"22 octobre","7739","5418","2321"
"23 octobre","9710","7236","2474"
"24 octobre","12635","9408","3227"
"25 octobre","11391","8572","2819"
"26 octobre","9381","6195","3186"
"27 octobre","10867","6988","3879"
"28 octobre","18438","9584","8854"
"29 octobre","18219","10408","7811"
"30 octobre","17199","10259","6940"
"31 octobre","15280","9359","5921"
"1 novembre","19788","10223","9565"
"2 novembre","14987","8079","6908"
"3 novembre","12485","6007","6478"
"4 novembre","7546","3866","3680"
"5 novembre","5719","3462","2257"
"6 novembre","4690","2792","1898"
"7 novembre","5553","3216","2337"
"8 novembre","5771","3311","2460"
"9 novembre","6582","4096","2486"
"10 novembre","6959","4172","2787"
"11 novembre","6821","4032","2789"
"12 novembre","5397","3166","2231"
"13 novembre","6593","3945","2648"
"14 novembre","5182","3079","2103"
"15 novembre","8398","5048","3350"
"16 novembre","4752","2908","1844"
"17 novembre","5348","3223","2125"
"18 novembre","4720","2896","1824"
"19 novembre","3728","2390","1338"
"20 novembre","3994","2754","1240"
"21 novembre","3957","2704","1253"
"22 novembre","4447","3037","1410"
"23 novembre","4638","3175","1463"
"24 novembre","3959","2763","1196"
"25 novembre","3920","2644","1276"
"26 novembre","4037","2781","1256"
"27 novembre","2805","2063","742"
"28 novembre","3430","2372","1058"
"29 novembre","3806","2659","1147"
"30 novembre","3407","2356","1051"
"1 décembre","3522","2477","1045"
"2 décembre","2894","1914","980"
"3 décembre","2048","1399","649"
"4 décembre","2556","1755","801"
"5 décembre","2947","1886","1061"
"6 décembre","3889","2449","1440"
"7 décembre","2442","1550","892"
"8 décembre","1785","1244","541"
"9 décembre","1777","1238","539"
"10 décembre","1260","910","350"
"11 décembre","1315","977","338"
"12 décembre","1121","838","283"
"13 décembre","1322","1073","249"
"14 décembre","1005","742","263"
"15 décembre","1078","792","286"
"16 décembre","876","628","248"
"17 décembre","921","672","249"
"18 décembre","958","727","231"
"19 décembre","964","714","250"
"20 décembre","1067","826","241"
"21 décembre","1042","826","216"
"22 décembre","766","578","188"
"23 décembre","694","524","170"
"24 décembre","869","673","196"
"25 décembre","852","633","219"
"26 décembre","623","472","151"
"27 décembre","772","579","193"
"28 décembre","785","587","198"
"29 décembre","895","707","188"
"30 décembre","1117","907","210"
"31 décembre","1114","886","228"
"1 janvier","1080","872","208"
"2 janvier","823","665","158"
"3 janvier","714","532","182"
"4 janvier","899","705","194"
"5 janvier","1067","903","164"
"6 janvier","1080","900","180"
"7 janvier","821","694","127"
"8 janvier","891","728","163"
"9 janvier","890","754","136"
"10 janvier","833","729","104"
"11 janvier","770","674","96"
"12 janvier","721","624","97"
"13 janvier","347","256","91"
"14 janvier","234","169","65"
"15 janvier","223","161","62"
"16 janvier","211","148","63"
"17 janvier","165","111","54"
"18 janvier","190","131","59"
